"註記","號次","姓名","性別","得票數","得票率","推薦之政黨","縣市","鄉鎮市區"
"290","",2,"李驥羣","男",323,"0.32%","無","新竹市","在東區"
"380","",3,"黃源甫","男",2165,"2.17%","無","新竹市","在東區"
"460","",4,"許明財","男",29097,"29.23%","中國國民黨","新竹市","在東區"
"560","",5,"郭榮睿","男",261,"0.26%","無","新竹市","在東區"
"648","◎",6,"林智堅","男",48346,"48.56%","民主進步黨","新竹市","在東區"
"738","",1,"謝文進","男",17017,"22.39%","無","新竹市","在北區"
"830","",2,"李驥羣","男",236,"0.31%","無","新竹市","在北區"
"929","",3,"黃源甫","男",1053,"1.39%","無","新竹市","在北區"
"1027","",4,"許明財","男",20850,"27.43%","中國國民黨","新竹市","在北區"
"1127","",5,"郭榮睿","男",195,"0.26%","無","新竹市","在北區"
"1227","◎",6,"林智堅","男",36655,"48.23%","民主進步黨","新竹市","在北區"
"1327","",1,"謝文進","男",7720,"18.58%","無","新竹市","香山區"
"1427","",2,"李驥羣","男",146,"0.35%","無","新竹市","香山區"
"1525","",3,"黃源甫","男",385,"0.93%","無","新竹市","香山區"
"1620","",4,"許明財","男",10561,"25.42%","中國國民黨","新竹市","香山區"
"1717","",5,"郭榮睿","男",118,"0.28%","無","新竹市","香山區"
"1816","◎",6,"林智堅","男",22611,"54.43%","民主進步黨","新竹市","香山區"
"1105","",1,"蘇貞昌","男",131905,"46.03%","民主進步黨","新北市","板橋區"
"280","◎",2,"侯友宜","男",154687,"53.97%","中國國民黨","新北市","板橋區"
"370","",1,"蘇貞昌","男",100823,"50.22%","民主進步黨","新北市","三重區"
"450","◎",2,"侯友宜","男",99925,"49.78%","中國國民黨","新北市","三重區"
"550","",1,"蘇貞昌","男",80552,"36.69%","民主進步黨","新北市","中和區"
"640","◎",2,"侯友宜","男",139022,"63.31%","中國國民黨","新北市","中和區"
"737","",1,"蘇貞昌","男",38286,"32.54%","民主進步黨","新北市","永和區"
"829","◎",2,"侯友宜","男",79362,"67.46%","中國國民黨","新北市","永和區"
"928","",1,"蘇貞昌","男",101046,"48.28%","民主進步黨","新北市","新莊區"
"1026","◎",2,"侯友宜","男",108240,"51.72%","中國國民黨","新北市","新莊區"
"1126","",1,"蘇貞昌","男",49933,"31.27%","民主進步黨","新北市","新店區"
"1226","◎",2,"侯友宜","男",109759,"68.73%","中國國民黨","新北市","新店區"
"1326","",1,"蘇貞昌","男",41600,"45.87%","民主進步黨","新北市","樹林區"
"1426","◎",2,"侯友宜","男",49090,"54.13%","中國國民黨","新北市","樹林區"
"1524","",1,"蘇貞昌","男",20360,"46.51%","民主進步黨","新北市","鶯歌區"
"1619","◎",2,"侯友宜","男",23419,"53.49%","中國國民黨","新北市","鶯歌區"
"1716","",1,"蘇貞昌","男",23653,"42.64%","民主進步黨","新北市","三峽區"
"1815","◎",2,"侯友宜","男",31822,"57.36%","中國國民黨","新北市","三峽區"
"1915","",1,"蘇貞昌","男",33763,"39.67%","民主進步黨","新北市","淡水區"
"2015","◎",2,"侯友宜","男",51336,"60.33%","中國國民黨","新北市","淡水區"
"2122","",1,"蘇貞昌","男",38639,"38.72%","民主進步黨","新北市","汐止區"
"2217","◎",2,"侯友宜","男",61139,"61.28%","中國國民黨","新北市","汐止區"
"2315","",1,"蘇貞昌","男",8038,"37.51%","民主進步黨","新北市","瑞芳區"
"2414","◎",2,"侯友宜","男",13393,"62.49%","中國國民黨","新北市","瑞芳區"
"2514","",1,"蘇貞昌","男",51932,"43.85%","民主進步黨","新北市","土城區"
"2614","◎",2,"侯友宜","男",66487,"56.15%","中國國民黨","新北市","土城區"
"2713","",1,"蘇貞昌","男",48350,"50.56%","民主進步黨","新北市","蘆洲區"
"2813","◎",2,"侯友宜","男",47271,"49.44%","中國國民黨","新北市","蘆洲區"
"2913","",1,"蘇貞昌","男",20372,"47.77%","民主進步黨","新北市","五股區"
"3013","◎",2,"侯友宜","男",22276,"52.23%","中國國民黨","新北市","五股區"
"3119","",1,"蘇貞昌","男",17627,"45.77%","民主進步黨","新北市","泰山區"
"3216","◎",2,"侯友宜","男",20885,"54.23%","中國國民黨","新北市","泰山區"
"3314","",1,"蘇貞昌","男",20883,"40.92%","民主進步黨","新北市","林口區"
"3413","◎",2,"侯友宜","男",30150,"59.08%","中國國民黨","新北市","林口區"
"3513","",1,"蘇貞昌","男",5153,"40.03%","民主進步黨","新北市","深坑區"
"3613","◎",2,"侯友宜","男",7720,"59.97%","中國國民黨","新北市","深坑區"
"3712","",1,"蘇貞昌","男",2488,"52.27%","民主進步黨","新北市","石碇區"
"3812","◎",2,"侯友宜","男",2272,"47.73%","中國國民黨","新北市","石碇區"
"3912","",1,"蘇貞昌","男",2255,"55.46%","民主進步黨","新北市","坪林區"
"4011","◎",2,"侯友宜","男",1811,"44.54%","中國國民黨","新北市","坪林區"
"4118","",1,"蘇貞昌","男",4915,"40.60%","民主進步黨","新北市","三芝區"
"4214","◎",2,"侯友宜","男",7191,"59.40%","中國國民黨","新北市","三芝區"
"4312","",1,"蘇貞昌","男",2928,"41.30%","民主進步黨","新北市","石門區"
"4410","◎",2,"侯友宜","男",4162,"58.70%","中國國民黨","新北市","石門區"
"4510","",1,"蘇貞昌","男",8982,"46.00%","民主進步黨","新北市","八里區"
"4610","◎",2,"侯友宜","男",10545,"54.00%","中國國民黨","新北市","八里區"
"4710","",1,"蘇貞昌","男",1417,"46.72%","民主進步黨","新北市","平溪區"
"4810","◎",2,"侯友宜","男",1616,"53.28%","中國國民黨","新北市","平溪區"
"4910","",1,"蘇貞昌","男",2423,"44.18%","民主進步黨","新北市","雙溪區"
"5010","◎",2,"侯友宜","男",3062,"55.82%","中國國民黨","新北市","雙溪區"
"5117","",1,"蘇貞昌","男",3698,"54.21%","民主進步黨","新北市","貢寮區"
"5214","◎",2,"侯友宜","男",3123,"45.79%","中國國民黨","新北市","貢寮區"
"5311","",1,"蘇貞昌","男",5344,"46.11%","民主進步黨","新北市","金山區"
"5410","◎",2,"侯友宜","男",6246,"53.89%","中國國民黨","新北市","金山區"
"5510","",1,"蘇貞昌","男",4928,"42.95%","民主進步黨","新北市","萬里區"
"5610","◎",2,"侯友宜","男",6547,"57.05%","中國國民黨","新北市","萬里區"
"5710","",1,"蘇貞昌","男",1399,"35.23%","民主進步黨","新北市","烏來區"
"5810","◎",2,"侯友宜","男",2572,"64.77%","中國國民黨","新北市","烏來區"
"1104","",1,"朱梅雪","男",4084,"2.10%","無","桃園市","桃園區"
"270","",2,"陳學聖","男",73799,"37.98%","中國國民黨","桃園市","桃園區"
"360","",3,"楊麗環","女",14752,"7.59%","無","桃園市","桃園區"
"440","",4,"吳富彤","男",424,"0.22%","無","桃園市","桃園區"
"540","◎",5,"鄭文燦","男",101241,"52.11%","民主進步黨","桃園市","桃園區"
"639","",1,"朱梅雪","男",3250,"1.68%","無","桃園市","中壢區"
"736","",2,"陳學聖","男",88154,"45.69%","中國國民黨","桃園市","中壢區"
"828","",3,"楊麗環","女",6829,"3.54%","無","桃園市","中壢區"
"927","",4,"吳富彤","男",561,"0.29%","無","桃園市","中壢區"
"1025","◎",5,"鄭文燦","男",94164,"48.80%","民主進步黨","桃園市","中壢區"
"1125","",1,"朱梅雪","男",610,"1.28%","無","桃園市","大溪區"
"1225","",2,"陳學聖","男",16271,"34.10%","中國國民黨","桃園市","大溪區"
"1325","",3,"楊麗環","女",1897,"3.98%","無","桃園市","大溪區"
"1425","",4,"吳富彤","男",190,"0.40%","無","桃園市","大溪區"
"1523","◎",5,"鄭文燦","男",28746,"60.25%","民主進步黨","桃園市","大溪區"
"1618","",1,"朱梅雪","男",1204,"1.55%","無","桃園市","楊梅區"
"1715","",2,"陳學聖","男",32538,"41.85%","中國國民黨","桃園市","楊梅區"
"1814","",3,"楊麗環","女",3387,"4.36%","無","桃園市","楊梅區"
"1914","",4,"吳富彤","男",348,"0.45%","無","桃園市","楊梅區"
"2014","◎",5,"鄭文燦","男",40272,"51.80%","民主進步黨","桃園市","楊梅區"
"2120","",1,"朱梅雪","男",1610,"2.23%","無","桃園市","蘆竹區"
"2216","",2,"陳學聖","男",24164,"33.50%","中國國民黨","桃園市","蘆竹區"
"2314","",3,"楊麗環","女",4197,"5.82%","無","桃園市","蘆竹區"
"2413","",4,"吳富彤","男",214,"0.30%","無","桃園市","蘆竹區"
"2513","◎",5,"鄭文燦","男",41938,"58.15%","民主進步黨","桃園市","蘆竹區"
"2613","",1,"朱梅雪","男",795,"1.77%","無","桃園市","大園區"
"2712","",2,"陳學聖","男",13865,"30.80%","中國國民黨","桃園市","大園區"
"2812","",3,"楊麗環","女",2508,"5.57%","無","桃園市","大園區"
"2912","",4,"吳富彤","男",201,"0.45%","無","桃園市","大園區"
"3012","◎",5,"鄭文燦","男",27652,"61.42%","民主進步黨","桃園市","大園區"
"3118","",1,"朱梅雪","男",1372,"1.89%","無","桃園市","龜山區"
"3215","",2,"陳學聖","男",26791,"36.96%","中國國民黨","桃園市","龜山區"
"3313","",3,"楊麗環","女",4071,"5.62%","無","桃園市","龜山區"
"3412","",4,"吳富彤","男",256,"0.35%","無","桃園市","龜山區"
"3512","◎",5,"鄭文燦","男",39998,"55.18%","民主進步黨","桃園市","龜山區"
"3612","",1,"朱梅雪","男",1633,"1.74%","無","桃園市","八德區"
"3711","",2,"陳學聖","男",36314,"38.61%","中國國民黨","桃園市","八德區"
"3811","",3,"楊麗環","女",4174,"4.44%","無","桃園市","八德區"
"3911","",4,"吳富彤","男",273,"0.29%","無","桃園市","八德區"
"4010","◎",5,"鄭文燦","男",51667,"54.93%","民主進步黨","桃園市","八德區"
"4117","",1,"朱梅雪","男",979,"1.64%","無","桃園市","龍潭區"
"4213","",2,"陳學聖","男",27385,"45.77%","中國國民黨","桃園市","龍潭區"
"4311","",3,"楊麗環","女",2296,"3.84%","無","桃園市","龍潭區"
"449","",4,"吳富彤","男",568,"0.95%","無","桃園市","龍潭區"
"459","◎",5,"鄭文燦","男",28610,"47.81%","民主進步黨","桃園市","龍潭區"
"469","",1,"朱梅雪","男",1694,"1.58%","無","桃園市","平鎮區"
"479","",2,"陳學聖","男",45697,"42.62%","中國國民黨","桃園市","平鎮區"
"489","",3,"楊麗環","女",3846,"3.59%","無","桃園市","平鎮區"
"499","",4,"吳富彤","男",483,"0.45%","無","桃園市","平鎮區"
"509","◎",5,"鄭文燦","男",55507,"51.77%","民主進步黨","桃園市","平鎮區"
"5116","",1,"朱梅雪","男",370,"1.29%","無","桃園市","新屋區"
"5213","",2,"陳學聖","男",9164,"31.94%","中國國民黨","桃園市","新屋區"
"5310","",3,"楊麗環","女",1434,"5.00%","無","桃園市","新屋區"
"549","",4,"吳富彤","男",141,"0.49%","無","桃園市","新屋區"
"559","◎",5,"鄭文燦","男",17581,"61.28%","民主進步黨","桃園市","新屋區"
"569","",1,"朱梅雪","男",556,"1.64%","無","桃園市","觀音區"
"579","",2,"陳學聖","男",10126,"29.80%","中國國民黨","桃園市","觀音區"
"589","",3,"楊麗環","女",1833,"5.39%","無","桃園市","觀音區"
"599","",4,"吳富彤","男",176,"0.52%","無","桃園市","觀音區"
"609","◎",5,"鄭文燦","男",21285,"62.65%","民主進步黨","桃園市","觀音區"
"6115","",1,"朱梅雪","男",43,"0.61%","無","桃園市","復興區"
"6212","",2,"陳學聖","男",2966,"42.35%","中國國民黨","桃園市","復興區"
"6310","",3,"楊麗環","女",294,"4.20%","無","桃園市","復興區"
"6410","",4,"吳富彤","男",32,"0.46%","無","桃園市","復興區"
"658","◎",5,"鄭文燦","男",3669,"52.38%","民主進步黨","桃園市","復興區"
"1103","",1,"宋原通","男",86,"0.94%","無","臺中市","在中區"
"260","",2,"林佳龍","男",4173,"45.77%","民主進步黨","臺中市","在中區"
"350","◎",3,"盧秀燕","女",4859,"53.29%","中國國民黨","臺中市","在中區"
"439","",1,"宋原通","男",458,"1.10%","無","臺中市","在東區"
"538","",2,"林佳龍","男",19078,"45.87%","民主進步黨","臺中市","在東區"
"637","◎",3,"盧秀燕","女",22055,"53.03%","中國國民黨","臺中市","在東區"
"735","",1,"宋原通","男",658,"0.99%","無","臺中市","在南區"
"827","",2,"林佳龍","男",28330,"42.77%","民主進步黨","臺中市","在南區"
"926","◎",3,"盧秀燕","女",37250,"56.24%","中國國民黨","臺中市","在南區"
"1024","",1,"宋原通","男",618,"1.03%","無","臺中市","在西區"
"1124","",2,"林佳龍","男",25616,"42.86%","民主進步黨","臺中市","在西區"
"1224","◎",3,"盧秀燕","女",33534,"56.11%","中國國民黨","臺中市","在西區"
"1324","",1,"宋原通","男",745,"0.97%","無","臺中市","在北區"
"1424","",2,"林佳龍","男",30187,"39.36%","民主進步黨","臺中市","在北區"
"1522","◎",3,"盧秀燕","女",45769,"59.67%","中國國民黨","臺中市","在北區"
"1617","",1,"宋原通","男",1083,"0.97%","無","臺中市","西屯區"
"1714","",2,"林佳龍","男",43307,"38.73%","民主進步黨","臺中市","西屯區"
"1813","◎",3,"盧秀燕","女",67437,"60.30%","中國國民黨","臺中市","西屯區"
"1913","",1,"宋原通","男",914,"1.08%","無","臺中市","南屯區"
"2013","",2,"林佳龍","男",34396,"40.73%","民主進步黨","臺中市","南屯區"
"2119","◎",3,"盧秀燕","女",49134,"58.19%","中國國民黨","臺中市","南屯區"
"2215","",1,"宋原通","男",1268,"0.91%","無","臺中市","北屯區"
"2313","",2,"林佳龍","男",53504,"38.42%","民主進步黨","臺中市","北屯區"
"2412","◎",3,"盧秀燕","女",84485,"60.67%","中國國民黨","臺中市","北屯區"
"2512","",1,"宋原通","男",986,"1.10%","無","臺中市","豐原區"
"2612","",2,"林佳龍","男",42504,"47.27%","民主進步黨","臺中市","豐原區"
"2711","◎",3,"盧秀燕","女",46436,"51.64%","中國國民黨","臺中市","豐原區"
"2811","",1,"宋原通","男",330,"1.13%","無","臺中市","東勢區"
"2911","",2,"林佳龍","男",10727,"36.64%","民主進步黨","臺中市","東勢區"
"3011","◎",3,"盧秀燕","女",18216,"62.23%","中國國民黨","臺中市","東勢區"
"3117","",1,"宋原通","男",484,"1.15%","無","臺中市","大甲區"
"3214","",2,"林佳龍","男",18523,"44.14%","民主進步黨","臺中市","大甲區"
"3312","◎",3,"盧秀燕","女",22958,"54.71%","中國國民黨","臺中市","大甲區"
"3411","",1,"宋原通","男",525,"1.07%","無","臺中市","清水區"
"3511","",2,"林佳龍","男",22912,"46.80%","民主進步黨","臺中市","清水區"
"3611","◎",3,"盧秀燕","女",25523,"52.13%","中國國民黨","臺中市","清水區"
"3710","",1,"宋原通","男",530,"1.10%","無","臺中市","沙鹿區"
"3810","",2,"林佳龍","男",20835,"43.27%","民主進步黨","臺中市","沙鹿區"
"3910","◎",3,"盧秀燕","女",26784,"55.63%","中國國民黨","臺中市","沙鹿區"
"409","",1,"宋原通","男",365,"1.19%","無","臺中市","梧棲區"
"4116","",2,"林佳龍","男",14663,"47.67%","民主進步黨","臺中市","梧棲區"
"4212","◎",3,"盧秀燕","女",15729,"51.14%","中國國民黨","臺中市","梧棲區"
"4310","",1,"宋原通","男",420,"1.36%","無","臺中市","后里區"
"448","",2,"林佳龍","男",12815,"41.46%","民主進步黨","臺中市","后里區"
"458","◎",3,"盧秀燕","女",17677,"57.18%","中國國民黨","臺中市","后里區"
"468","",1,"宋原通","男",424,"1.16%","無","臺中市","神岡區"
"478","",2,"林佳龍","男",18095,"49.65%","民主進步黨","臺中市","神岡區"
"488","◎",3,"盧秀燕","女",17928,"49.19%","中國國民黨","臺中市","神岡區"
"498","",1,"宋原通","男",581,"1.01%","無","臺中市","潭子區"
"508","",2,"林佳龍","男",24836,"43.30%","民主進步黨","臺中市","潭子區"
"5115","◎",3,"盧秀燕","女",31938,"55.68%","中國國民黨","臺中市","潭子區"
"5212","",1,"宋原通","男",592,"1.21%","無","臺中市","大雅區"
"539","",2,"林佳龍","男",20342,"41.74%","民主進步黨","臺中市","大雅區"
"548","◎",3,"盧秀燕","女",27797,"57.04%","中國國民黨","臺中市","大雅區"
"558","",1,"宋原通","男",209,"1.39%","無","臺中市","新社區"
"568","",2,"林佳龍","男",6009,"40.10%","民主進步黨","臺中市","新社區"
"578","◎",3,"盧秀燕","女",8767,"58.51%","中國國民黨","臺中市","新社區"
"588","",1,"宋原通","男",110,"1.21%","無","臺中市","石岡區"
"598","",2,"林佳龍","男",3571,"39.35%","民主進步黨","臺中市","石岡區"
"608","◎",3,"盧秀燕","女",5393,"59.43%","中國國民黨","臺中市","石岡區"
"6114","",1,"宋原通","男",215,"1.17%","無","臺中市","外埔區"
"6211","",2,"林佳龍","男",7124,"38.76%","民主進步黨","臺中市","外埔區"
"638","◎",3,"盧秀燕","女",11040,"60.07%","中國國民黨","臺中市","外埔區"
"647","",1,"宋原通","男",148,"1.24%","無","臺中市","大安區"
"657","",2,"林佳龍","男",5009,"42.13%","民主進步黨","臺中市","大安區"
"667","◎",3,"盧秀燕","女",6732,"56.62%","中國國民黨","臺中市","大安區"
"677","",1,"宋原通","男",465,"1.15%","無","臺中市","烏日區"
"687","",2,"林佳龍","男",16911,"41.93%","民主進步黨","臺中市","烏日區"
"697","◎",3,"盧秀燕","女",22951,"56.91%","中國國民黨","臺中市","烏日區"
"707","",1,"宋原通","男",388,"1.22%","無","臺中市","大肚區"
"7114","",2,"林佳龍","男",13558,"42.68%","民主進步黨","臺中市","大肚區"
"7211","◎",3,"盧秀燕","女",17821,"56.10%","中國國民黨","臺中市","大肚區"
"7310","",1,"宋原通","男",572,"1.38%","無","臺中市","龍井區"
"745","",2,"林佳龍","男",18048,"43.62%","民主進步黨","臺中市","龍井區"
"755","◎",3,"盧秀燕","女",22757,"55.00%","中國國民黨","臺中市","龍井區"
"765","",1,"宋原通","男",415,"1.11%","無","臺中市","霧峰區"
"775","",2,"林佳龍","男",16151,"43.07%","民主進步黨","臺中市","霧峰區"
"785","◎",3,"盧秀燕","女",20936,"55.83%","中國國民黨","臺中市","霧峰區"
"795","",1,"宋原通","男",1057,"1.12%","無","臺中市","太平區"
"805","",2,"林佳龍","男",40025,"42.27%","民主進步黨","臺中市","太平區"
"8113","◎",3,"盧秀燕","女",53613,"56.62%","中國國民黨","臺中市","太平區"
"8210","",1,"宋原通","男",1202,"1.14%","無","臺中市","大里區"
"837","",2,"林佳龍","男",46571,"44.23%","民主進步黨","臺中市","大里區"
"844","◎",3,"盧秀燕","女",57527,"54.63%","中國國民黨","臺中市","大里區"
"854","",1,"宋原通","男",71,"1.01%","無","臺中市","和平區"
"864","",2,"林佳龍","男",2035,"28.84%","民主進步黨","臺中市","和平區"
"874","◎",3,"盧秀燕","女",4950,"70.15%","中國國民黨","臺中市","和平區"
"1102","◎",1,"黃偉哲","男",13462,"35.26%","民主進步黨","臺南市","新營區"
"250","",2,"高思博","男",14120,"36.98%","中國國民黨","臺南市","新營區"
"340","",3,"林義豐","男",4359,"11.42%","無","臺南市","新營區"
"437","",4,"許忠信","男",1616,"4.23%","無","臺南市","新營區"
"530","",5,"陳永和","男",3176,"8.32%","無","臺南市","新營區"
"630","",6,"蘇煥智","男",1448,"3.79%","無","臺南市","新營區"
"730","◎",1,"黃偉哲","男",6555,"45.92%","民主進步黨","臺南市","鹽水區"
"825","",2,"高思博","男",3981,"27.89%","中國國民黨","臺南市","鹽水區"
"925","",3,"林義豐","男",1618,"11.33%","無","臺南市","鹽水區"
"1023","",4,"許忠信","男",566,"3.96%","無","臺南市","鹽水區"
"1123","",5,"陳永和","男",862,"6.04%","無","臺南市","鹽水區"
"1223","",6,"蘇煥智","男",694,"4.86%","無","臺南市","鹽水區"
"1323","◎",1,"黃偉哲","男",7130,"46.44%","民主進步黨","臺南市","白河區"
"1423","",2,"高思博","男",4715,"30.71%","中國國民黨","臺南市","白河區"
"1520","",3,"林義豐","男",1371,"8.93%","無","臺南市","白河區"
"1616","",4,"許忠信","男",562,"3.66%","無","臺南市","白河區"
"1713","",5,"陳永和","男",705,"4.59%","無","臺南市","白河區"
"1812","",6,"蘇煥智","男",871,"5.67%","無","臺南市","白河區"
"1912","◎",1,"黃偉哲","男",5212,"42.68%","民主進步黨","臺南市","柳營區"
"2012","",2,"高思博","男",3630,"29.72%","中國國民黨","臺南市","柳營區"
"2118","",3,"林義豐","男",1578,"12.92%","無","臺南市","柳營區"
"2214","",4,"許忠信","男",506,"4.14%","無","臺南市","柳營區"
"2312","",5,"陳永和","男",777,"6.36%","無","臺南市","柳營區"
"2411","",6,"蘇煥智","男",510,"4.18%","無","臺南市","柳營區"
"2511","◎",1,"黃偉哲","男",6345,"45.95%","民主進步黨","臺南市","後壁區"
"2611","",2,"高思博","男",3940,"28.53%","中國國民黨","臺南市","後壁區"
"2710","",3,"林義豐","男",1458,"10.56%","無","臺南市","後壁區"
"2810","",4,"許忠信","男",552,"4.00%","無","臺南市","後壁區"
"2910","",5,"陳永和","男",662,"4.79%","無","臺南市","後壁區"
"3010","",6,"蘇煥智","男",852,"6.17%","無","臺南市","後壁區"
"3116","◎",1,"黃偉哲","男",4627,"42.01%","民主進步黨","臺南市","東山區"
"3213","",2,"高思博","男",3742,"33.97%","中國國民黨","臺南市","東山區"
"3311","",3,"林義豐","男",1111,"10.09%","無","臺南市","東山區"
"3410","",4,"許忠信","男",495,"4.49%","無","臺南市","東山區"
"3510","",5,"陳永和","男",474,"4.30%","無","臺南市","東山區"
"3610","",6,"蘇煥智","男",565,"5.13%","無","臺南市","東山區"
"379","◎",1,"黃偉哲","男",11716,"48.58%","民主進步黨","臺南市","麻豆區"
"389","",2,"高思博","男",5630,"23.34%","中國國民黨","臺南市","麻豆區"
"399","",3,"林義豐","男",2086,"8.65%","無","臺南市","麻豆區"
"408","",4,"許忠信","男",1402,"5.81%","無","臺南市","麻豆區"
"4115","",5,"陳永和","男",2343,"9.71%","無","臺南市","麻豆區"
"4211","",6,"蘇煥智","男",941,"3.90%","無","臺南市","麻豆區"
"438","◎",1,"黃偉哲","男",5492,"42.59%","民主進步黨","臺南市","下營區"
"447","",2,"高思博","男",3767,"29.21%","中國國民黨","臺南市","下營區"
"457","",3,"林義豐","男",1449,"11.24%","無","臺南市","下營區"
"467","",4,"許忠信","男",664,"5.15%","無","臺南市","下營區"
"477","",5,"陳永和","男",1031,"8.00%","無","臺南市","下營區"
"487","",6,"蘇煥智","男",492,"3.82%","無","臺南市","下營區"
"497","◎",1,"黃偉哲","男",5309,"43.24%","民主進步黨","臺南市","六甲區"
"507","",2,"高思博","男",3260,"26.55%","中國國民黨","臺南市","六甲區"
"5114","",3,"林義豐","男",1381,"11.25%","無","臺南市","六甲區"
"5211","",4,"許忠信","男",674,"5.49%","無","臺南市","六甲區"
"537","",5,"陳永和","男",1022,"8.32%","無","臺南市","六甲區"
"547","",6,"蘇煥智","男",633,"5.16%","無","臺南市","六甲區"
"557","◎",1,"黃偉哲","男",5514,"45.37%","民主進步黨","臺南市","官田區"
"567","",2,"高思博","男",3107,"25.56%","中國國民黨","臺南市","官田區"
"577","",3,"林義豐","男",1265,"10.41%","無","臺南市","官田區"
"587","",4,"許忠信","男",678,"5.58%","無","臺南市","官田區"
"597","",5,"陳永和","男",1025,"8.43%","無","臺南市","官田區"
"607","",6,"蘇煥智","男",565,"4.65%","無","臺南市","官田區"
"6113","◎",1,"黃偉哲","男",2271,"39.13%","民主進步黨","臺南市","大內區"
"6210","",2,"高思博","男",1687,"29.07%","中國國民黨","臺南市","大內區"
"636","",3,"林義豐","男",673,"11.60%","無","臺南市","大內區"
"646","",4,"許忠信","男",397,"6.84%","無","臺南市","大內區"
"656","",5,"陳永和","男",481,"8.29%","無","臺南市","大內區"
"666","",6,"蘇煥智","男",295,"5.08%","無","臺南市","大內區"
"676","◎",1,"黃偉哲","男",12783,"40.53%","民主進步黨","臺南市","佳里區"
"686","",2,"高思博","男",9178,"29.10%","中國國民黨","臺南市","佳里區"
"696","",3,"林義豐","男",3005,"9.53%","無","臺南市","佳里區"
"706","",4,"許忠信","男",2001,"6.34%","無","臺南市","佳里區"
"7113","",5,"陳永和","男",3366,"10.67%","無","臺南市","佳里區"
"7210","",6,"蘇煥智","男",1205,"3.82%","無","臺南市","佳里區"
"734","◎",1,"黃偉哲","男",6509,"47.08%","民主進步黨","臺南市","學甲區"
"744","",2,"高思博","男",3860,"27.92%","中國國民黨","臺南市","學甲區"
"754","",3,"林義豐","男",1228,"8.88%","無","臺南市","學甲區"
"764","",4,"許忠信","男",570,"4.12%","無","臺南市","學甲區"
"774","",5,"陳永和","男",1107,"8.01%","無","臺南市","學甲區"
"784","",6,"蘇煥智","男",552,"3.99%","無","臺南市","學甲區"
"794","◎",1,"黃偉哲","男",6041,"43.79%","民主進步黨","臺南市","西港區"
"804","",2,"高思博","男",3593,"26.05%","中國國民黨","臺南市","西港區"
"8112","",3,"林義豐","男",1387,"10.06%","無","臺南市","西港區"
"826","",4,"許忠信","男",722,"5.23%","無","臺南市","西港區"
"833","",5,"陳永和","男",1536,"11.14%","無","臺南市","西港區"
"843","",6,"蘇煥智","男",515,"3.73%","無","臺南市","西港區"
"853","◎",1,"黃偉哲","男",5670,"43.39%","民主進步黨","臺南市","七股區"
"863","",2,"高思博","男",3251,"24.88%","中國國民黨","臺南市","七股區"
"873","",3,"林義豐","男",1347,"10.31%","無","臺南市","七股區"
"883","",4,"許忠信","男",960,"7.35%","無","臺南市","七股區"
"893","",5,"陳永和","男",1144,"8.75%","無","臺南市","七股區"
"903","",6,"蘇煥智","男",695,"5.32%","無","臺南市","七股區"
"9111","◎",1,"黃偉哲","男",5438,"45.68%","民主進步黨","臺南市","將軍區"
"9210","",2,"高思博","男",3109,"26.12%","中國國民黨","臺南市","將軍區"
"935","",3,"林義豐","男",1115,"9.37%","無","臺南市","將軍區"
"943","",4,"許忠信","男",873,"7.33%","無","臺南市","將軍區"
"953","",5,"陳永和","男",912,"7.66%","無","臺南市","將軍區"
"963","",6,"蘇煥智","男",457,"3.84%","無","臺南市","將軍區"
"973","◎",1,"黃偉哲","男",2757,"42.63%","民主進步黨","臺南市","北門區"
"983","",2,"高思博","男",1877,"29.02%","中國國民黨","臺南市","北門區"
"993","",3,"林義豐","男",652,"10.08%","無","臺南市","北門區"
"1002","",4,"許忠信","男",395,"6.11%","無","臺南市","北門區"
"10111","",5,"陳永和","男",448,"6.93%","無","臺南市","北門區"
"10210","",6,"蘇煥智","男",339,"5.24%","無","臺南市","北門區"
"1032","◎",1,"黃偉哲","男",9154,"38.46%","民主進步黨","臺南市","新化區"
"1042","",2,"高思博","男",7591,"31.89%","中國國民黨","臺南市","新化區"
"1052","",3,"林義豐","男",2223,"9.34%","無","臺南市","新化區"
"1062","",4,"許忠信","男",1102,"4.63%","無","臺南市","新化區"
"1072","",5,"陳永和","男",2822,"11.86%","無","臺南市","新化區"
"1082","",6,"蘇煥智","男",911,"3.83%","無","臺南市","新化區"
"1092","◎",1,"黃偉哲","男",9435,"39.40%","民主進步黨","臺南市","善化區"
"11010","",2,"高思博","男",6948,"29.02%","中國國民黨","臺南市","善化區"
"11111","",3,"林義豐","男",2001,"8.36%","無","臺南市","善化區"
"11210","",4,"許忠信","男",1583,"6.61%","無","臺南市","善化區"
"1132","",5,"陳永和","男",2878,"12.02%","無","臺南市","善化區"
"1142","",6,"蘇煥智","男",1099,"4.59%","無","臺南市","善化區"
"1152","◎",1,"黃偉哲","男",7027,"37.42%","民主進步黨","臺南市","新市區"
"1162","",2,"高思博","男",5034,"26.81%","中國國民黨","臺南市","新市區"
"1172","",3,"林義豐","男",1605,"8.55%","無","臺南市","新市區"
"1182","",4,"許忠信","男",2012,"10.71%","無","臺南市","新市區"
"1192","",5,"陳永和","男",2340,"12.46%","無","臺南市","新市區"
"1202","",6,"蘇煥智","男",762,"4.06%","無","臺南市","新市區"
